Time,Flow_Rate,Pressure
0,1400.72016121363,300000
0.001,1387.12149273898,300000
0.002,1372.62758118766,300000
0.003,1357.09042071678,300000
0.004,1340.40333497716,300000
0.005,1322.4793451219,300000
0.006,1303.24876669712,300000
0.007,1282.66232291397,300000
0.008,1260.69683281778,300000
0.009,1237.36230178033,300000
0.01,1212.70950302675,300000
0.011,1186.83701136435,300000
0.012,1159.89644455203,300000
0.013,1132.09455280114,300000
0.014,1103.69090558563,300000
0.015,1074.9903443036,300000
0.016,1046.33010105742,300000
0.017,1018.06241542755,300000
0.018,990.534397959463,300000
0.019,964.067536929489,300000
0.02,938.939422873704,300000
0.021,915.369906399328,300000
0.022,893.513104329885,300000
0.023,873.455647635797,300000
0.024,855.220584267905,300000
0.025,838.775626432971,300000
0.026,824.044075352412,300000
0.027,810.916761418948,300000
0.028,799.263612063673,300000
0.029,788.943874798514,300000
0.03,779.814458670633,300000
0.031,771.736229881012,300000
0.032,764.578366091808,300000
0.033,758.221034313603,300000
0.034,752.556726617027,300000
0.035,747.49059249253,300000
0.036,742.940072327817,300000
0.037,738.834083859494,300000
0.038,735.111956761371,300000
0.039,731.722258092773,300000
0.04,728.621607098706,300000
0.041,725.773542917897,300000
0.042,723.14748257717,300000
0.043,720.717787936914,300000
0.044,718.462947490867,300000
0.045,716.364870678365,300000
0.046,714.408287411973,300000
0.047,712.58024287616,300000
0.048,710.869676564775,300000
0.049,709.267074445114,300000
0.05,707.764183671914,300000
0.051,706.353780153395,300000
0.052,705.029480310987,300000
0.053,703.785589456142,300000
0.054,702.616980258217,300000
0.055,701.518995754599,300000
0.056,700.487372236266,300000
0.057,699.518178120998,300000
0.058,698.607765602756,300000
0.059,697.75273244508,300000
0.06,696.949891776845,300000
0.061,696.196248160061,300000
0.062,695.488978541343,300000
0.063,694.825416980696,300000
0.064,694.203042282151,300000
0.065,693.619467838564,300000
0.066,693.072433154496,300000
0.067,692.559796632738,300000
0.068,692.079529306943,300000
0.069,691.629709279526,300000
0.07,691.208516684223,300000
0.071,690.81422903962,300000
0.072,690.445216896254,300000
0.073,690.099939707627,300000
0.074,689.776941876488,300000
0.075,689.474848943444,300000
0.076,689.192363896537,300000
0.077,688.928263588727,300000
0.078,688.681395256178,300000
0.079,688.450673134183,300000
0.08,688.235075170248,300000
0.081,688.03363983535,300000
0.082,687.845463035272,300000
0.083,687.669695124153,300000
0.084,687.505538022318,300000
