leak_id,start_time,end_time,demo_start,calibration_end,leak_type,diameter_mm,year,detected,false_alarm_before_leak,localized,alarm_delay_h,alarm_time,localization_delay_h,localization_time,threshold_m,calib_q95_m,predicted_node,top1_distance_m,top5_min_distance_m,top10_min_distance_m,mean_top10_distance_m,top1_correlation,confidence_gap,confidence_ratio,within_300m_top1,within_300m_top10,mas_localized,mas_predicted_node,mas_top1_distance_m,mas_top5_min_distance_m,mas_top10_min_distance_m,mas_mean_top10_distance_m,mas_top1_correlation,mas_confidence_gap,mas_confidence_ratio,mas_within_300m_top1,mas_within_300m_top10,mas_sensor_count,mas_candidate_count,mas_sensor_ids
p257,08-Jan-2018 13:30:00,31-Dec-2019 23:55:00,07-Jan-2018,08-Jan-2018,incipient,11.843,2018,1,0,1,628.666666666667,03-Feb-2018 18:10:00,652.666666666667,04-Feb-2018 18:10:00,3.52265229068275,2.70973253129442,n465,1205.50646971512,1061.2151860603,1013.10829817202,1210.10536707388,0.978669887363998,0.000487527037942637,1.00049839994792,0,0,1,n599,1438.38670388912,839.923467183171,839.923467183171,1417.5400045416,0.976804160694308,0.000144992404313871,1.0001484565024,0,0,8,78,n54|n410|n429|n613|n458|n342|n163|n188
p461,23-Jan-2018 04:25:00,02-Apr-2018 11:40:00,22-Jan-2018,23-Jan-2018,incipient,21.32,2018,1,0,1,279.75,03-Feb-2018 20:10:00,303.75,04-Feb-2018 20:10:00,3.45289820872075,2.65607554516981,n465,957.572314514679,912.105724971069,842.87281343332,962.626366809954,0.994205896572433,0.000189294627602754,1.00019043306424,0,0,1,n198,1161.80444048256,950.075867299554,938.15580088011,1170.3604785432,0.993431006835102,4.05949444592935e-06,1.00000408534765,0,0,8,78,n613|n54|n342|n458|n410|n429|n163|n188
p232,31-Jan-2018 02:35:00,10-Feb-2018 09:20:00,30-Jan-2018,31-Jan-2018,incipient,20.108,2018,1,0,1,87.6666666666667,03-Feb-2018 18:15:00,111.666666666667,04-Feb-2018 18:15:00,3.13361238309339,2.41047106391799,n465,27.4636286750313,27.4636286750313,27.4636286750313,92.6488831430568,0.996603976243752,0.000502214176958393,1.00050417858454,1,1,1,n198,228.486387559522,228.486387559522,94.20662662467,292.792233149611,0.995705202116316,8.83837970451218e-05,1.00008877190032,1,1,8,78,n613|n54|n342|n458|n410|n429|n163|n188
p427,13-Feb-2018 08:25:00,31-Dec-2019 23:55:00,12-Feb-2018,13-Feb-2018,incipient,9.0731,2018,1,0,1,488.25,05-Mar-2018 16:40:00,512.25,06-Mar-2018 16:40:00,3.23881550593794,2.49139654302919,n206,450.567472638672,450.567472638672,449.320256498636,578.864645240691,0.984131042253546,7.33107582040482e-06,1.00000744832761,0,0,1,n237,649.254983038251,450.150322114735,450.150322114735,676.77996848136,0.984117246841109,0.00037030418511963,1.00037642117976,0,0,8,78,n229|n342|n429|n410|n54|n613|n458|n644
p673,05-Mar-2018 15:45:00,23-Mar-2018 10:25:00,04-Mar-2018,05-Mar-2018,abrupt,22.916,2018,1,0,1,1.75,05-Mar-2018 17:30:00,25.75,06-Mar-2018 17:30:00,3.67486967457289,2.82682282659453,n237,176.924369788336,22.1116943041459,22.1116943041459,119.11349668336,0.995297941094953,4.74442666709152e-06,1.00000476585862,1,1,1,n237,176.924369788336,99.8165393359237,90.481377780182,168.94660509572,0.995297941094953,4.74442666709152e-06,1.00000476585862,1,1,8,78,n229|n54|n429|n410|n342|n644|n458|n613
p810,28-Jul-2018 03:05:00,31-Dec-2019 23:55:00,27-Jul-2018,28-Jul-2018,incipient,10.028,2018,1,0,1,22.8333333333333,29-Jul-2018 01:55:00,46.8333333333333,30-Jul-2018 01:55:00,3.41593410729168,2.6276416209936,n111,1983.14237827873,730.347527088988,730.347527088988,2047.60943486483,0,0,0,0,0,1,n410,1846.67548411328,1846.67548411328,1791.34123274294,1922.61013899757,-0.914786422426644,0.000736414847595235,-0.999195633558434,0,0,8,78,n54|n410|n429|n342|n458|n415|n229|n613
p628,02-May-2018 14:55:00,29-May-2018 21:20:00,01-May-2018,02-May-2018,incipient,22.318,2018,1,0,1,268.166666666667,13-May-2018 19:05:00,292.166666666667,14-May-2018 19:05:00,3.710105487398,2.85392729799846,n191,373.532146742419,331.601984991043,289.846770294237,361.389424985735,0.993444303706873,4.87347879754019e-05,1.0000490577867,0,1,1,n587,289.846770294237,289.846770294237,238.943511002078,417.327361759431,0.993122047254229,0.000345846798075478,1.00034836229713,1,1,8,78,n613|n188|n54|n458|n163|n342|n410|n429
p538,18-May-2018 08:35:00,02-Jun-2018 06:05:00,17-May-2018,18-May-2018,abrupt,21.731,2018,0,0,0,NaN,NaT,NaN,NaT,5.0276481287703,3.86742163751561,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,
p866,01-Jun-2018 09:05:00,12-Jun-2018 03:00:00,31-May-2018,01-Jun-2018,abrupt,18.108,2018,0,0,0,NaN,NaT,NaN,NaT,4.6481282670723,3.57548328236331,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,
p31,28-Jun-2018 10:35:00,12-Aug-2018 17:30:00,27-Jun-2018,28-Jun-2018,incipient,16.389,2018,0,0,0,NaN,NaT,NaN,NaT,4.30990118579336,3.31530860445643,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,
