Timestamp;p123;p142;p193;p257;p277;p280;p331;p426;p427;p455;p514;p523;p586;p653;p654;p680;p710;p721;p762;p800;p810;p827;p879
2019-01-01 00:00:00;0;0;0;6,79;0;0;0;0;5,05;0;0;0;0;0;5,45;0;0;0;0;0;6,87;0;0
2019-01-01 00:05:00;0;0;0;6,8;0;0;0;0;5,06;0;0;0;0;0;5,45;0;0;0;0;0;6,87;0;0
2019-01-01 00:10:00;0;0;0;6,8;0;0;0;0;5,06;0;0;0;0;0;5,45;0;0;0;0;0;6,87;0;0
2019-01-01 00:15:00;0;0;0;6,8;0;0;0;0;5,06;0;0;0;0;0;5,45;0;0;0;0;0;6,87;0;0
2019-01-01 00:20:00;0;0;0;6,8;0;0;0;0;5,05;0;0;0;0;0;5,45;0;0;0;0;0;6,87;0;0
2019-01-01 00:25:00;0;0;0;6,8;0;0;0;0;5,06;0;0;0;0;0;5,45;0;0;0;0;0;6,87;0;0
2019-01-01 00:30:00;0;0;0;6,81;0;0;0;0;5,06;0;0;0;0;0;5,46;0;0;0;0;0;6,88;0;0
2019-01-01 00:35:00;0;0;0;6,81;0;0;0;0;5,06;0;0;0;0;0;5,45;0;0;0;0;0;6,87;0;0
2019-01-01 00:40:00;0;0;0;6,81;0;0;0;0;5,06;0;0;0;0;0;5,46;0;0;0;0;0;6,88;0;0
2019-01-01 00:45:00;0;0;0;6,81;0;0;0;0;5,06;0;0;0;0;0;5,46;0;0;0;0;0;6,87;0;0
2019-01-01 00:50:00;0;0;0;6,81;0;0;0;0;5,07;0;0;0;0;0;5,46;0;0;0;0;0;6,88;0;0
2019-01-01 00:55:00;0;0;0;6,82;0;0;0;0;5,07;0;0;0;0;0;5,46;0;0;0;0;0;6,88;0;0
2019-01-01 01:00:00;0;0;0;6,82;0;0;0;0;5,07;0;0;0;0;0;5,46;0;0;0;0;0;6,88;0;0
2019-01-01 01:05:00;0;0;0;6,82;0;0;0;0;5,07;0;0;0;0;0;5,46;0;0;0;0;0;6,88;0;0
2019-01-01 01:10:00;0;0;0;6,82;0;0;0;0;5,07;0;0;0;0;0;5,46;0;0;0;0;0;6,88;0;0
2019-01-01 01:15:00;0;0;0;6,83;0;0;0;0;5,07;0;0;0;0;0;5,46;0;0;0;0;0;6,88;0;0
2019-01-01 01:20:00;0;0;0;6,83;0;0;0;0;5,07;0;0;0;0;0;5,46;0;0;0;0;0;6,88;0;0
2019-01-01 01:25:00;0;0;0;6,83;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 01:30:00;0;0;0;6,83;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 01:35:00;0;0;0;6,83;0;0;0;0;5,07;0;0;0;0;0;5,47;0;0;0;0;0;6,88;0;0
2019-01-01 01:40:00;0;0;0;6,83;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 01:45:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 01:50:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 01:55:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 02:00:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 02:05:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 02:10:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 02:15:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 02:20:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 02:25:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 02:30:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 02:35:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 02:40:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 02:45:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 02:50:00;0;0;0;6,84;0;0;0;0;5,08;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 02:55:00;0;0;0;6,84;0;0;0;0;5,09;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 03:00:00;0;0;0;6,84;0;0;0;0;5,09;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 03:05:00;0;0;0;6,83;0;0;0;0;5,09;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 03:10:00;0;0;0;6,84;0;0;0;0;5,09;0;0;0;0;0;5,48;0;0;0;0;0;6,89;0;0
2019-01-01 03:15:00;0;0;0;6,84;0;0;0;0;5,09;0;0;0;0;0;5,48;0;0;0;0;0;6,89;0;0
2019-01-01 03:20:00;0;0;0;6,85;0;0;0;0;5,09;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 03:25:00;0;0;0;6,85;0;0;0;0;5,09;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
2019-01-01 03:30:00;0;0;0;6,85;0;0;0;0;5,09;0;0;0;0;0;5,47;0;0;0;0;0;6,89;0;0
