leak_id,true_pipe_id,true_node,leak_type,alarm_time,method_name,predicted_node,top1_error_m,top5_min_error_m,top10_min_error_m,candidate_count,xgb_top1_zone,xgb_top3_zones,zone_hit_top1,zone_hit_top3,top1_success_300m,top5_success_300m,top10_success_300m,top1_nodes,top5_nodes,top10_nodes
p257,p257,n351,incipient,2018-01-10 15:05:00,Global sensitivity,n4,267.15091133103,211.01216155710054,211.01216155710054,782,,,,,True,True,True,n4,n4|n9|n6|n357|n111,n4|n9|n6|n357|n111|n300|n303|n336|n14|n12
p257,p257,n351,incipient,2018-01-10 15:05:00,MAS sensitivity,n4,267.15091133103,22.849105562362826,22.849105562362826,78,,,,,True,True,True,n4,n4|n9|n6|n357|n350,n4|n9|n6|n357|n350|n349|n348|n347|n1|n410
p257,p257,n351,incipient,2018-01-10 15:05:00,XGBoost top-3 zones + sensitivity,n4,267.15091133103,211.01216155710054,211.01216155710054,73,22.0,22|13|30,False,True,True,True,True,n4,n4|n9|n6|n357|n111,n4|n9|n6|n357|n111|n336|n14|n12|n356|n355
p461,p461,n106,incipient,2018-02-02 18:20:00,Global sensitivity,n586,963.7311678185986,842.8728134333197,815.3689334436283,782,,,,,False,False,False,n586,n586|n587|n191|n579|n182,n586|n587|n191|n579|n182|n184|n578|n583|n181|n196
p461,p461,n106,incipient,2018-02-02 18:20:00,MAS sensitivity,n587,950.075867299554,838.6329173869816,806.811502908207,78,,,,,False,False,False,n587,n587|n196|n192|n588|n186,n587|n196|n192|n588|n186|n580|n592|n190|n193|n194
p461,p461,n106,incipient,2018-02-02 18:20:00,XGBoost top-3 zones + sensitivity,n586,963.7311678185986,842.8728134333197,815.3689334436283,79,27.0,27|11|8,False,False,False,False,False,n586,n586|n587|n191|n579|n182,n586|n587|n191|n579|n182|n184|n578|n583|n181|n196
p232,p232,n465,incipient,2018-02-02 17:40:00,Global sensitivity,n586,57.63946738130042,37.148975759770224,37.148975759770224,782,,,,,True,True,True,n586,n586|n587|n191|n579|n184,n586|n587|n191|n579|n184|n182|n583|n578|n196|n181
p232,p232,n465,incipient,2018-02-02 17:40:00,MAS sensitivity,n587,94.20662662467002,94.20662662467002,94.20662662467002,78,,,,,True,True,True,n587,n587|n196|n192|n592|n588,n587|n196|n192|n592|n588|n186|n580|n190|n193|n194
p232,p232,n465,incipient,2018-02-02 17:40:00,XGBoost top-3 zones + sensitivity,n586,57.63946738130042,37.148975759770224,37.148975759770224,79,27.0,27|11|8,False,True,True,True,True,n586,n586|n587|n191|n579|n184,n586|n587|n191|n579|n184|n182|n583|n578|n196|n181
p427,p427,n462,incipient,2018-03-05 14:40:00,Global sensitivity,n206,450.5674726386716,450.5674726386716,449.32025649863596,782,,,,,False,False,False,n206,n206|n233|n623|n237|n234,n206|n233|n623|n237|n234|n231|n205|n626|n236|n243
p427,p427,n462,incipient,2018-03-05 14:40:00,MAS sensitivity,n237,649.2549830382513,649.2549830382513,540.8462429378613,78,,,,,False,False,False,n237,n237|n236|n243|n242|n247,n237|n236|n243|n242|n247|n641|n253|n254|n667|n246
p427,p427,n462,incipient,2018-03-05 14:40:00,XGBoost top-3 zones + sensitivity,n206,450.5674726386716,450.5674726386716,449.32025649863596,86,23.0,23|8|3,False,False,False,False,False,n206,n206|n233|n623|n237|n234,n206|n233|n623|n237|n234|n231|n205|n626|n236|n243
p673,p673,n206,abrupt,2018-03-05 16:20:00,Global sensitivity,n237,176.92436978833643,22.111694304145853,22.111694304145853,782,,,,,True,True,True,n237,n237|n233|n206|n243|n236,n237|n233|n206|n243|n236|n205|n626|n231|n234|n623
p673,p673,n206,abrupt,2018-03-05 16:20:00,MAS sensitivity,n237,176.92436978833643,99.81653933592375,90.481377780182,78,,,,,True,True,True,n237,n237|n233|n243|n236|n626,n237|n233|n243|n236|n626|n231|n234|n211|n242|n247
p673,p673,n206,abrupt,2018-03-05 16:20:00,XGBoost top-3 zones + sensitivity,n237,176.92436978833643,22.111694304145853,22.111694304145853,77,23.0,23|8|24,False,True,True,True,True,n237,n237|n233|n206|n243|n236,n237|n233|n206|n243|n236|n205|n626|n231|n234|n623
p810,p810,n717,incipient,2018-07-28 20:55:00,Global sensitivity,n111,1983.1423782787258,603.4266522328957,432.20870667421764,782,,,,,False,False,False,n111,n111|n300|n303|n336|n740,n111|n300|n303|n336|n740|n739|n738|n722|n314|n721
p810,p810,n717,incipient,2018-07-28 20:55:00,MAS sensitivity,n1,2550.281180502456,1846.6754841132756,1791.3412327429414,78,,,,,False,False,False,n1,n1|n347|n4|n9|n410,n1|n347|n4|n9|n410|n411|n55|n409|n50|n59
p810,p810,n717,incipient,2018-07-28 20:55:00,XGBoost top-3 zones + sensitivity,n111,1983.1423782787258,603.4266522328957,603.4266522328957,69,22.0,22|26|6,False,False,False,False,False,n111,n111|n300|n303|n336|n740,n111|n300|n303|n336|n740|n739|n738|n746|n747|n748
p628,p628,n590,incipient,2018-05-10 14:30:00,Global sensitivity,n586,331.60198499104314,314.42288919542733,289.84677029423676,782,,,,,False,False,True,n586,n586|n579|n191|n184|n182,n586|n579|n191|n184|n182|n587|n578|n583|n181|n577
p628,p628,n590,incipient,2018-05-10 14:30:00,MAS sensitivity,n587,289.84677029423676,187.80485630036304,142.02427767814902,78,,,,,True,True,True,n587,n587|n186|n192|n588|n580,n587|n186|n192|n588|n580|n196|n190|n193|n180|n194
p628,p628,n590,incipient,2018-05-10 14:30:00,XGBoost top-3 zones + sensitivity,n586,331.60198499104314,314.42288919542733,289.84677029423676,79,8.0,8|27|11,False,True,False,False,True,n586,n586|n579|n191|n184|n182,n586|n579|n191|n184|n182|n587|n578|n583|n181|n577
p538,p538,n147,abrupt,2018-05-21 15:35:00,Global sensitivity,n151,95.91757099197207,19.712080686726146,19.712080686726146,782,,,,,True,True,True,n151,n151|n540|n148|n538|n147,n151|n540|n148|n538|n147|n531|n142|n333|n154|n511
p538,p538,n147,abrupt,2018-05-21 15:35:00,MAS sensitivity,n151,95.91757099197207,19.712080686726146,19.712080686726146,78,,,,,True,True,True,n151,n151|n540|n148|n538|n147,n151|n540|n148|n538|n147|n531|n142|n334|n136|n137
p538,p538,n147,abrupt,2018-05-21 15:35:00,XGBoost top-3 zones + sensitivity,n151,95.91757099197207,19.712080686726146,19.712080686726146,90,15.0,15|2|28,True,True,True,True,True,n151,n151|n540|n148|n538|n147,n151|n540|n148|n538|n147|n531|n142|n333|n154|n511
p31,p31,n40,incipient,2018-07-16 03:50:00,Global sensitivity,n87,742.9854484611392,657.0042302946003,518.1206745778439,782,,,,,False,False,False,n87,n87|n442|n454|n441|n455,n87|n442|n454|n441|n455|n440|n456|n77|n79|n437
p31,p31,n40,incipient,2018-07-16 03:50:00,MAS sensitivity,n79,562.2404521421417,474.17300210471706,331.53037617238033,78,,,,,False,False,False,n79,n79|n437|n74|n436|n76,n79|n437|n74|n436|n76|n73|n72|n71|n70|n426
p31,p31,n40,incipient,2018-07-16 03:50:00,XGBoost top-3 zones + sensitivity,n87,742.9854484611392,657.0042302946003,518.1206745778439,85,5.0,5|7|8,False,False,False,False,False,n87,n87|n442|n454|n441|n455,n87|n442|n454|n441|n455|n440|n456|n77|n79|n437
p654,p654,n610,incipient,2018-07-19 10:05:00,Global sensitivity,n343,1006.7329033313653,992.7668720550663,992.7668720550663,782,,,,,False,False,False,n343,n343|n44|n387|n388|n45,n343|n44|n387|n388|n45|n389|n43|n37|n39|n346
